Myanmar,English
ဒီခလုတ်ကို နှိပ်ရင် တံခါး ပွင့်မယ်။,If you press this button the door will open
ကျွန်တော်က တိုကျိုမှာ နေပေမဲ့ ညီလေးကတော့ ကျိုတိုမှာ နေတယ်။,I live in Tokyo whereas my little brother lives in Kyoto
အင်း၊ ဟုတ်တယ်။,Yes that is true
ကျွန်တော် ကောင်းတဲ့ဆိုင်ကို သိတယ်။,I know a good shop
ကျွန်တော် တစ်ပတ် တစ်ခါ ကာရာအိုကေ သွားတယ်။,I go to a karaoke place once a week
သန်ဘက်ခါ ပင်လယ်မှာ ရေသွားကူးမယ်လို့ စိတ်ကူးထားတယ်။,I am thinking of going to the beach to swim the day after tomorrow
ခရီး အတူတူ သွားကြမလား။,Would you like to go on a trip together
မနေ့တုန်းကညစာက အသားဟင်းနဲ့ပါ။,Yesterdays dinner was a meat dish
ဂျပန်က ဟင်းတွေက စပ်သလား။,Is Japanese food spicy
လမ်းကူးပြီး ဘယ်ဘက်ခြမ်းကနေ လျှောက်ရအောင်။,Lets cross the street and walk on the left
ကျွန်တော့်မှာ ညီအစ်ကိုမောင်နှမ နှစ်ယောက် ရှိပါတယ်။,I have two brothers
ဟင့်အင်း၊ မကိုက်ဘူး။,No it doesnt hurt
မနေ့တုန်းကပါတီက ပျော်ဖို့ကောင်းပါတယ်။ ဒါပေမဲ့ နည်းနည်းတော့ ပင်ပန်းသွားတယ်။,The party yesterday was fun but it was tiring
မိုးရွာမလိုပဲ။,It looks like it is going to rain
မီးဖို ငြိမ်းသွားလို့ ချက်ချင်း ပြန်ထွန်းလိုက်တယ်။,I turned on the heater quickly when it went out
ဒီမြို့က ကြီးပြီး စည်ကားတဲ့မြို့ ဖြစ်တယ်။,This place is a big and bustling town
နားမလည်တာ ရှိလို့ ဆရာ့ကို မေးမယ်။,I will ask my teacher a question because there is a question I do not understand
ကျွန်တော် မနက်တိုင်း ကော်ဖီ သောက်တယ်။,I drink coffee every morning
မနေ့က သော့ ပျောက်သွားတယ်။,I lost my keys yesterday
မစ္စတာဟယရှိရဲ့ ညီလေးက ဘောလုံး ကစားနေတယ်။,Mr Kobayashis little brother plays football
ကျွန်တော် နွားနို့ မကြိုက်လို့ သိပ် မသောက်ဘူး။,I dont like milk so I dont drink it that much
ဒီလ အလုပ် အရမ်း ရှုပ်တယ်။,I was very busy with work this month
အဲဒီစားသောက်ဆိုင်က ဈေးပေါတယ်။ ဒါပေမဲ့ သိပ် စားလို့မကောင်းဘူး။,That restaurant is cheap but it doesnt taste very good
ကျွန်တော် သစ်သီးတို့ ဟင်းသီးဟင်းရွက်တို့ကို ဟင်းသီးဟင်းရွက်ဆိုင်မှာ ဝယ်တယ်။,I buy fruits and vegetables at a vegetable shop
ဒီဟိုတယ်က တစ်နေ့ကို ယန်းခုနစ်ထောင့်ရှစ်ရာပါ။,This hotel is  yen a day
ဒီည သူငယ်ချင်း အိမ်မှာ လာတည်းမယ်။,My friend is going to stay at my house tonight
ကားက ဈေးကြီးပေမဲ့ အဆင်ပြေတယ်။,Cars are expensive but convenient
တက္ကစီ တစ်စီး ခေါ်မယ်။,I will call a taxi
ကျွန်တော် ဒီသီချင်းကို အကြိုက်ဆုံးပဲ။,I like this song the best
ဂျပန်မှာ အိမ်ထဲကို ဝင်တဲ့အခါ ဖိနပ်ချွတ်တယ်။,In Japan when you enter a house you take off your shoes
ဒီနေ့လည်း ညီမလေးက ကိုယ်တွေ ဆက်တိုက် ပူနေလို့ စိတ်ပူလိုက်တာ။,I am worried because my sister still has a high fever
မစ္စတာလီက ဂျပန်လို တတ်တယ်။,Mr Lee can speak Japanese
ကင်မရာအသစ် ဝယ်လိုက်တယ်။,I bought a new camera
မနက်ဖန်ည သူငယ်ချင်းနဲ့ တွေ့ရမှာမို့ အပြင်ထွက်မယ်။,I will go out with my friend tomorrow night
မစ္စတာဟယရှိဟာ ဘာကို ဝယ်ခဲ့ပါသလဲ။,Which one did Mr Hayashi buy
တိုကျိုကတက္ကသိုလ်မှာ တက်ချင်တယ်။,I wanted to go to a university in Tokyo
စာကြည့်တိုက်မှာ စာအုပ်ကို ကော်ပီကူးခဲ့တယ်။,I copied the book at the library
ဆရာ၊ ဒါ ကျွန်တော့်ရဲ့ အမေပါ။,Miss this is my mother
ဟိုစာသင်ခန်းထဲမှာ တီဗွီ ရှိတယ်။,There is a television in that room
ခရီးသွားတုန်းက ဓာတ်ပုံတွေ အများကြီး ရိုက်ခဲ့တယ်။,I took a lot of pictures during the trip
ကျွန်တော် စာကို သိပ် စိတ်မဝင်စားဘူး။,I do not really like studying
ဒီနေ့ မစ္စတာခိုဘာယာရှိနဲ့ ခဏခဏ တွေ့တယ်။,I have bumped into Mr Kobayashi many times today
ကျွန်တော့်အခန်းက တောင်ဘက်မှာ ရှိလို့ အလင်းရောင် ကောင်းတယ်။,My room faces the south so it is bright
စကားရဲ့ အဓိပ္ပာယ် နားမလည်တဲ့အခါ အဘိဓာန်ကို သုံးတယ်။,When there is I word I dont know I use the dictionary
မနေ့က အရက် နှစ်ခွက် သောက်တယ်။,I had two glasses of alcohol
ကျွန်တော် ကော်ဖီကို နို့ မထည့်ဘဲ သောက်တယ်။,I drink coffee without milk
ဟိုမှာ ခွေး နှစ်ကောင် ရှိတယ်။,There are two dogs over there
မနေ့က သူငယ်ချင်းနဲ့ ဂီတပွဲ သွားခဲ့တယ်။,I went to the concert with my friend yesterday
ဒါ မစ္စတာခိုဘာယာရှိရဲ့ အကြိုက်ဆုံးအစားအစာပါ။,This is Mr Kobayashis favourite food
ဒါလေးက အရမ်း ပေါ့ပြီး အဆင်ပြေတဲ့အဘိဓာန်ပဲ။,This is a very light and convenient dictionary
ဒီစာအုပ်က အလျားထက်စာရင် အနံက ပိုရှည်တယ်။,This notebook is wider than it is tall
ဈေးသက်သာရင် ဝယ်မယ်။,If they are cheap I will buy them
ဟိုမှာ လူတစ်ယောက် ရှိတယ်နော်။ အဲဒီလူက ဘယ်သူလဲ။,There is a person over there Who is he
နေ့တိုင်း အလုပ်များလို့ သိပ် အနားမယူနိုင်ဘူး။,I am busy every day so I cannot really rest
ကျောင်းအထိ လမ်းမလျှောက်ဘဲ ဘတ်စကား စီးတယ်။,I will ride the bus rather than walk to school
ဘေးအိမ်က ခွေးက အကောင်မကြီးဘူး။,The dog next door is not very big
အပြင်ထွက်လို့ ရမလား။,May I go outside
ဒီလမ်းက ကွေ့ကောက်နေတယ်။,This road has twists and turns
ကျွန်တော် အဖေ့ဆီက စာအုပ် ရခဲ့တယ်။,I received a book from my father
စုစုပေါင်း တစ်ဆယ် ရှိတယ်။,There are ten in all
ဟိုတယ်လီဖုန်းနဲ့ နိုင်ငံခြားကို ဖုန်းခေါ်လို့ရသလား။,Can you call abroad with that phone
မနက်ဖန် နေသာရင် တင်းနစ်ကစားကြမယ်။,If it is sunny tomorrow lets play tennis
ကျွန်တော် ဘတ်စကား စောင့်နေတယ်။,I am waiting for the bus
မနက်တိုင်း ကိုးနာရီမှာ ကုမ္ပဏီ သွားတယ်။,I always go to work at nine in the morning
အပြင်ထွက်တဲ့အခါ လက်ကိုင်ပဝါ ယူသွားတယ်။,I bring a handkerchief with me when I go out
ဒီဖိနပ်က အဟောင်းပါ။,These shoes are old
စာကြည့်တိုက်မှာ စာအုပ်စင်တွေ အများကြီး တန်းစီနေတယ်။,There are a lot of bookshelves lined up in the library
မိုးရွာလို့ ဘေ့စ်ဘောပြိုင်ပွဲ မရှိဘူး။,It was raining so there wasnt a baseball game
ကျွန်တော့်ရှေ့မှာ မစ္စတာမဆုအိ ထိုင်တယ်။,Ms Matsui sat in front of me
ရေခဲသေတ္တာထဲမှာ ဟင်းသီးဟင်းရွက်နဲ့ ကြက်ဥ ရှိတယ်။,There are vegetables and eggs in the refrigerator
လမ်း အများကြီး လျှောက်လိုက်လို့ ခြေထောက် ညောင်းသွားတယ်။,My legs are tired because I walked so much
ကျွန်တော် အခု ကိုယ်အလေးချိန် လေးဆယ့်ငါးကီလိုဂရမ် ရှိတယ်။,I weigh  kilograms
ကျွန်တော် မစ္စတာယာမာဒါရဲ့ ဖုန်းနံပါတ်ကို သိတယ်။,I know Mr Yamadas telephone number
ပူလို့ ရေကူးကန်မှာ ရေကူးတယ်။,It was hot so we swam in the pool
ဒီလွယ်အိတ် အကြွေးဝယ်ကတ်နဲ့ ဝယ်ထားတာ။,I bought this bag with my credit card
မနေ့က အမေ့ဆီ ပစ္စည်း ပို့လိုက်တယ်။,I sent baggage to my mother yesterday
ပန်းခြံမှာ ဂီတပွဲ ရှိတယ်။,There will be a concert at the park
ဆရာက မေးခွန်းထုတ်လိုက်ပါတယ်။,The teacher asked a question
ဟလို၊ ခိမုရပါ ခင်ဗျာ။,Hello this is Kimura
အမဲသားက အသားတွေထဲမှာ ဈေးအကြီးဆုံးပဲ။,Beef is the most expensive of all kinds of meat
ဝက်သား နှစ်ရာဂရမ် ဝယ်မယ်။,I will buy  grams of pork
မနေ့နေ့လယ်က မစ္စတာခိမုရနဲ့ ကော်ဖီဆိုင် သွားတယ်။,I went to a cafe with Mr Kimura during lunchtime yesterday
ဧည့်လမ်းညွှန်က မြို့ရဲ့ အကြောင်းကို ပြောပြပေးတယ်။,The guide taught us about this town
မင်းတို့ သွားရင် ငါလည်း သွားမယ်။,If everyone is going then I will go too
ကျွန်တော့်အဖေက ဘဏ်ဝန်ထမ်းပါ။,My father is a bank employee
အိမ်ပြန်ရောက်ရင် သန့်ရှင်းရေးလုပ်မယ်လို့ စိတ်ကူးတယ်။,I am thinking of cleaning when I get home
အပြန်ရထား မရှိလို့ သူငယ်ချင်းအိမ်မှာ ဝင်တည်းတယ်။,I stayed overnight at my friends house because there was no train to go home
ရေ နောက်တစ်ခွက် ထပ်သောက်မယ်။,I will drink one more glass of water
ဆယ်နာရီ ငါးဆယ့်တစ်မိနစ်ပါ။,It is  right now
အဲဒီလူက ဂျပန်စာဆရာ ဖြစ်မယ် ထင်တယ်။,I think that person is a Japanese teacher
စာအိတ်မှာ နာမည်ကို ရေးလိုက်မယ်။,I will write my name on the envelope
ကျွန်တော် နောက်လ ဂီတဖျော်ဖြေပွဲမှာ စန္ဒရားတီးမယ်။,I will play the piano at the concert next month
မစ္စတာမဆုအိဆီက ဒီည သွားမယ့် စားသောက်ဆိုင်ရဲ့ ဖုန်းနံပါတ်ကို မေးထားတယ်။,I asked Mr Matsui the telephone number of the restaurant we are going to tonight
မိုးရွာနေလို့ ကျောင်းကို ထီးဆောင်းသွားတယ်။,It is raining so I will put up an umbrella and go to school
မစ္စတာတာနာခါ အခု ဘာလုပ်နေလဲ။,What is Mr Tanaka doing
မစ္စတာတာနာခါရဲ့ ကားက အဖြူရောင်ခပ်ကြီးကြီးကားပါ။,Mr Tanakas car is big and white
ဒီနေ့ စားသောက်ဆိုင်မှာ ညစာစားမယ်။,I will eat dinner at a restaurant today
အဲဒီလမ်းဆုံကို ဖြတ်ပြီး ဘယ်ဘက်ကို ကွေ့မယ်။,We cross that intersection and go left
ဒီအိမ်ခန်းက အိမ်လခ ဈေးကြီးတယ်။,The rent for this flat is expensive
ကျောင်းပြီးရင် အလှပြင်ဆရာ လုပ်မယ်။,I would like to become a hairdresser after I graduate
တံတားကို ကူးရင် ချက်ချင်း ပန်းခြံ ရှိတယ်။,When you cross the bridge there is a park right there
ခုနစ်နာရီတောင် ခွဲပြီ၊ အိမ်က မထွက်လို့မဖြစ်တော့ဘူး။,It is already  so I must get out of the house
မစ္စတာယာမာဒါက သန်စွမ်းပြီး တက်တက်ကြွကြွ ရှိတယ်။,Mr Yamada is strong and healthy
အဲဒီအထုပ်ကို ကျွန်တော် သယ်ပေးမယ်။,I will hold that baggage
ဘဏ်မှာ ငွေချေးတယ်။,I will borrow money from the bank
အဖေ့ရဲ့ မွေးနေ့က ခြောက်လပိုင်း ငါးရက်နေ့ပါ။,My fathers birthday is the fifth of June
ဆေးသောက်လိုက်တာမို့လို့ ကောင်းသွားမှာပါ။,I already took my medicine so Im alright
မစ္စတာတာနာခါရဲ့ အိမ်ကခြံဝန်းထဲမှာ သစ်ပင်ပန်းပင်တွေ ရှိတယ်။,There are trees and flowers in Mr Tanakas home garden
ရှူးဖိနပ်ကို ချွတ်ပြီး ဖိနပ်ပါးကို စီးတယ်။,I take off my shoes and put on slippers
လမ်းဆုံမှာ ရဲတွေ အများကြီးပဲ။,There are a lot of policemen at the intersection
မစ္စတာတာနာခါရဲ့ အိတ်က အဲဒီမှာ ရှိတယ်။,Mr Tanakas bag is there
အမြဲတမ်း ကိုးနာရီကျော်မှာ အတန်းစတယ်။,Class always starts after
အခန်းထဲမှာ ညီမလေး ငိုနေတယ်။,My sister is crying in her room
အရက်သောက်ပြီးတဲ့အခါ ရေသောက်ပေးရင် ကောင်းတယ်။,After drinking alcohol it is good to drink water
စာမေးပွဲ ဖြေပြီးပြီလား။ ပြီးရင် ထပ်လိုက်ပါ။,Have you finished your test Well then please hand it in
ကျွန်တော်နဲ့ မစ္စတာလီနဲ့က အဖွဲ့ အတူတူပဲ။,Mr Lee and I are in the same group
ဒီစားပွဲက ဝိုင်းတယ်။,This table is round
အဲဒါ ဘယ်လိုအစားအစာမျိုးလဲ။,What kind of food is it
ရှစ်လပိုင်း တစ်ရက်နေ့ကစပြီး နွေရာသီ ပိတ်ပြီ။,It is summer vacation from the first of August
မစ္စတာယာမာဒါရဲ့ အမေက ဟင်းချက် အရမ်း တော်တယ်။,Mr Yamadas mum is very good at cooking
မစ္စတာလီက ဂျပန်ဘာသာနဲ့ စာတစ်စောင် ရေးခဲ့တယ်။,Mr Lee wrote a letter in Japanese
အအေးမိသွားလို့ ဆေးသောက်မယ်။,Im going to take some medicine because I have a cold
ဒီမဂ္ဂဇင်းက ဖတ်လို့ကောင်းတယ်။,This magazine is interesting
ဒီတောင်က နိမ့်တယ်။,This mountain is low
လက်ဖက်ရည်တို့ဘာတို့ သောက်ဦးမလား။,How about tea
အခု ဘယ်နှနာရီ ဘယ်နှမိနစ် ရှိပြီလဲ။,What time is it now
ကျွန်တော် မနက်တိုင်း ဟင်းသီးဟင်းရွက်နဲ့ သစ်သီး စားတယ်။,I eat vegetables and fruit every morning
ဘာအစားအစာ ကြိုက်သလဲ။,What is your favourite food
ပြည်ပမှာ ဂျပန်ကားတွေ ရောင်းနေတယ်။,Japanese cars are sold overseas
မနေ့က ကုန်တိုက်မှာ ဆွယ်တာတွေ စကတ်တွေ ဝယ်ခဲ့တယ်။,I bought a sweater skirt and so on at the department store yesterday
ဘူတာကနေ စာကြည့်တိုက်အထိ နှစ်ကီလိုမီတာ ရှိတယ်။,It is two kilometres from the station to the library
ဒီဘောပင်က တုတ်တယ်။,This bread is thick
နေ့တိုင်း ကျောင်းဆင်းရင် တင်းနစ် လေ့ကျင့်တယ်။,I practise tennis every day after school finishes
သူငယ်ချင်းဆီက ခရီးအပြန်လက်ဆောင် ရခဲ့တယ်။,I received a souvenir from my friend
အန္တရာယ်များလို့ ဓား မသုံးရဘူး။,You cannot use a knife because it is dangerous
ဇီးရိုးက သုံညနဲ့ အတူတူပဲ။,Zero is the same as nought
ကျွန်တော် မစ္စတာမဆုအိ ရေးတဲ့ စာစီစာကုံးကို ဖတ်တယ်။,I read the composition Mr Matsui wrote
ပိုက်ဆံ ထည့်ပြီး ခလုတ်ကို နှိပ်တယ်။,We put money in and push this button
မစ္စတာလီ ဂျပန်စကား နားလည်တယ်။,Mr Lee understands Japanese
အဲဒီအိတ်ကြီးက ကျွန်တော့်ဟာပါ။,That big bag is mine
ရေဒီယိုကက်ဆက်က ရေဒီယိုရော သီချင်းရော နားထောင်လို့ရတယ်။,You can listen to both music and the radio on a radio cassette recorder
လတိုင်း နိုင်ငံခြားကသူငယ်ချင်းဆီကို စာရေးတယ်။,Every month I write a letter to my friend overseas
ဒီစကားက အမှန်တကယ်။,This story is true
ကျေးဇူးတင်ပါတယ်။ ဒီလောက်ဆို တော်ပါပြီ။,Thank you This is enough
မနေ့က ရထားပေါ်မှာ ထီးမေ့ကျန်ခဲ့တယ်။,I forgot my umbrella in the train yesterday
ဒါ ဂျပန်ရှေးဟောင်းရုပ်ရှင် ဖြစ်ပါတယ်။,This is an old Japanese film
ဒီရုပ်ရှင်က အရမ်း စိတ်ဝင်စားဖို့ ကောင်းတယ်။,This film is very interesting
မနက်ဖန် မနက်စောစော ထမယ်။,I will wake up early tomorrow morning
ကျွန်တော် ဒီဟင်း မှာမယ်။,I will order this dish
ဂျပန်မှာ အသက်နှစ်ဆယ်ကစပြီး အရက် သောက်လို့ရတယ်။,In Japan we can drink at twenty years of age
ဒီကုတ်အင်္ကျီက တစ်သောင်းပါ။,This coat costs ten thousand yen
မလုပ်ချင်ရင် မလုပ်လည်း ရတယ်။,If you dont like it you can stop
အိမ်ပြန်မယ်။,I will go home
ညီမလေး အိပ်သွားပြီ။,My sister already went to bed
မစ္စတာလီ မနေ့က မစ္စတာမဆုအိဆီမှာ ခန်းဂျီး သင်တယ်။,Yesterday Mr Lee learned Kanji from Mr Matsui
လေဆိပ်မှာ ပတ်စပို့ကို ပြတယ်။,We show our passports at the airport
စာသင်ခန်းက ထွက်မယ်။,I will get out of the classroom
မစ္စတာယာမာဒါက ညီမလေးကို စာအုပ် ပေးတယ်။,Mr Yamada gave a book to my little sister
ကျွန်တော် အဘိုးကို လမ်းညွှန်ပေးလိုက်တယ်။,I told an old man the way
ပေါင်မုန့်ပဲ စားလိုက်တယ်။,I only ate bread
မနှစ်ကထက်စာရင် ဒီနှစ်က ပိုပူတယ်။,It is hotter this year than last year
ဒီနေ့ သူငယ်ချင်းနဲ့ ညစာ စားလာတယ်။,I had dinner with my friend today
မနက်စာဆို အမြဲတမ်း ပေါင်မုန့်ပဲ စားတယ်။,I always eat bread for breakfast
ဪ၊ ဟုတ်လား။,Oh is that so
အမြဲတမ်း ဘယ်မှာ ထမင်းစားသလဲ။,Where do you usually eat lunch
မစ္စတာခိုဘာယာရှိက အဲဒီစားသောက်ဆိုင်ကို မသိဘူး။,Mr Kobayashi did not know the restaurant
ရေဒီယိုနဲ့ သတင်း နားထောင်တယ်။,I listen to the news on the radio
တက္ကသိုလ်ပြီးရင် သွားဆရာဝန် ဖြစ်ချင်တယ်။,I want to become a doctor when I graduate from university
အဲဒီဓာတ်ပုံက ရှေ့လက တိုကျိုမှာ ရိုက်ထားတာ။,I took that picture last month
အိမ်ရောက်ရင် ဆက်သွယ်လိုက်မယ်။,I will contact you when I get home
ဘူတာရဲ့ ဝင်ပေါက်မှာ လက်မှတ်ကို ပြတယ်။,I will show the ticket at the entrance to the station
ဒီနေ့တော့ အိမ်ပြန်မယ်။,I will go home for today
ကျွန်တော် ဘူတာဝန်ထမ်းကို လက်မှတ် ပြလိုက်တယ်။,I showed my ticket to the station staff
မစ္စတာမဆုအိ အိမ်စာမလုပ်သေးဘူး။,Mr Matsui hasnt started homework yet
စာကြည့်တိုက်ကနေ စာအုပ် သုံးအုပ် ငှားခဲ့တယ်။,I borrowed three books at the library
မနက်ဖန် အထုပ် ရောက်မယ်။,The baggage will arrive tomorrow
ဘဏ်မှာ ငွေ သွားလွှဲမယ်။,I will go to the bank to transfer money
ဘူတာအထိ လမ်းလျှောက်သွားမယ်။,I will walk to the station
သန့်စင်ခန်းက နှစ်ထပ်မှာ ရှိတယ်။,The toilet is on the second floor
အမြဲတမ်း ဒီမှာ နေ့လယ်စာ စားတယ်။,I eat lunch here every day
ရေချိုးခန်းမှာ ဆပ်ပြာ မရှိဘူး။,There is no soap in the bathroom
စာသင်ချိန်မှာ ဦးထုပ်မဆောင်းရဘူး။,You may not wear a hat during class
မနက်ဖန် တင်းနစ်ပြိုင်ပွဲ ရှိတယ်။,There is going to be a tennis match tomorrow
တက္ကသိုလ်ကျောင်းရှေ့မှာ စာအုပ်ဆိုင်ကြီးတစ်ဆိုင် လာဖွင့်ထားတယ်။,A big bookstore was built in front of the university
ပြင်သစ်ဟင်းလျာက ဓားနဲ့ ခက်ရင်းကို သုံးပြီး စားတယ်။,We use a knife and fork when we eat French food
တီဗွီက မျက်စိအတွက် မကောင်းဘူး။,Watching TV is not good for your eyes
အဲဒါ ဒီနေ့သတင်းစာပါ။,That is todays newspaper
မနက်ဖန် သူငယ်ချင်းနဲ့ ရုပ်ရှင် သွားကြည့်မယ်။,I will go see a film with my friend tomorrow
သူငယ်ချင်းနဲ့ အမြဲလိုလို ရုပ်ရှင်ကြည့်လိုက် ရေကူးကန် သွားလိုက် လုပ်တယ်။,I often go to the cinema and pool with my friend
အမေ့ဆီက အဆက်အသွယ် မလာလို့ စိတ်ပူခဲ့တယ်။,I was worried because my mother did not contact me
ကုန်တိုက်မှာ အဝတ်အစားအသစ်ကို ဝယ်တယ်။,I bought new clothes at a department store
ဒီစာအုပ်က စိတ်ဝင်စားဖို့မကောင်းဘူး။,This book is boring
ဒီစာအုပ်က စာမျက်နှာ တစ်ရာ့နှစ်ဆယ် ရှိတယ်။,This book has  pages
ကျွန်တော် ဒီလိုဦးထုပ် လိုချင်တယ်။,I want a hat like this
မနေ့က ပင်ပန်းသွားလို့ မနက်က နောက်ကျမှ အိပ်ရာထတယ်။,I was tired yesterday so I woke up late this morning
ကျောင်းကနေ အိမ်အထိ ခြေလျင်လျှောက်တယ်။,I will walk from school to my house
မနက် အိပ်ရာထပြီးတော့ မျက်နှာသစ်တယ်။,When I wake up I wash my face
အဲဒီအလုပ်ကို ကျွန်တော် လုပ်ပါ့မယ်။,I will do that work
အမလေး၊ တော်ပါသေးရဲ့။,Oh good
မစ္စတာလီ အအေးမိနေလို့ နေမကောင်းဘူး။,Mr Lee caught a cold so he is not healthy
ဖိနပ်အသစ် စီးပြီး အပြင်ထွက်မယ်။,I will wear new shoes and go out
ဟိုတယ်မှာ တည်းမယ်။,I will stay at a hotel
ဒီနေ့ ရေမချိုးပါနဲ့။,Please dont take a bath today
မစ္စတာတာနာခါဟာ ကျောင်းသား မဟုတ်ပါဘူး။,Mr Tanaka is not a student
နောက်ထပ် အလုပ်လေး နည်းနည်း လုပ်ပြီး ပြန်မယ်။,I will go home after I do a little bit more work
ခုနစ်နာရီမှာ အိမ်က ထွက်မယ်။,I leave home at seven
မနက်ဖန် ကုမ္ပဏီ စောစော သွားမယ်။,I will go to my office early tomorrow
မစ္စတာတာနာခါက ဂီတာ တီးရင်းနဲ့ သီချင်းဆိုတတ်တယ်။,Mr Tanaka can sing while playing the guitar
ကျေးဇူးတင်ပါတယ်။,Thanks a lot
ရှေ့အပတ်က မစ္စတာလီနဲ့ ရုပ်ရှင်ရုံကို သွားပြီး ရုပ်ရှင် ကြည့်ခဲ့တယ်။,Last week I went to the cinema with Mr Lee and watched a film
မနေ့ကစာမေးပွဲ ကောင်းကောင်း ဖြေနိုင်တယ်။,I did well on yesterdays test
ကြက်သားက ဈေးပေါပေမဲ့ အမဲသားက ပိုစားလို့ကောင်းတယ်။,Chicken is cheap but beef tastes better
ခေါင်းကိုက်လား။,Does your head hurt
ဒါဖြင့်၊ အတန်းစမယ်။,We will be starting class now
ခြေထောက်နာလို့ မပြေးနိုင်တော့ဘူး။,I cannot run anymore because my feet hurt
ကျွန်တော် သန့်ရှင်းရေးတို့ အဝတ်လျှော်တာတို့ကို လုပ်ရတာ မုန်းတယ်။,I dont like cleaning or doing the laundry
ဘရာဇီးဟာ ဘောလုံး အရမ်း အားသာတဲ့နိုင်ငံ ဖြစ်တယ်။,Brazil is a country that has a strong football team
နင် ဟိုဘက်မှာ အလုပ်လုပ်နေပါ။,You should work over there
အဖေ မနက် အိပ်ရာထတိုင်း သတင်းစာ ဖတ်တယ်။,Every morning my father reads the newspaper after waking up
ဒီလမ်းက အရမ်း ကျဉ်းပြီး အန္တရာယ်များတယ်။,This road is narrow and dangerous
ဒီနေရာက ဒုတိယထပ်ပါ။,This is the second floor
ကျွန်တော် နေ့တိုင်း စန္ဒရား လေ့ကျင့်တယ်။,I practise the piano every day
ဟိုဘက်ကပြတင်းပေါက်ကို ဖွင့်လိုက်ပါ။,Please open the window over there
ညဘက်က မှောင်တော့ အန္တရာယ်များတယ်။,The night is dark so it is dangerous
